date,channel,spend_cents
2025-07-01,Search,1430536
2025-07-01,Social,910677
2025-07-01,Email,168212
2025-07-01,Partners,426747
2025-07-02,Search,1117189
2025-07-02,Social,1695985
2025-07-02,Email,221990
2025-07-02,Partners,280072
2025-07-03,Search,1271944
2025-07-03,Social,1193245
2025-07-03,Email,172376
2025-07-03,Partners,381401
2025-07-04,Search,1362162
2025-07-04,Social,1624343
2025-07-04,Email,219075
2025-07-04,Partners,380835
2025-07-05,Search,1160556
2025-07-05,Social,1122069
2025-07-05,Email,186729
2025-07-05,Partners,386482
2025-07-06,Search,807539
2025-07-06,Social,1202306
2025-07-06,Email,140991
2025-07-06,Partners,371464
2025-07-07,Search,1495212
2025-07-07,Social,1256501
2025-07-07,Email,153625
2025-07-07,Partners,350241
2025-07-08,Search,1420887
2025-07-08,Social,1199665
2025-07-08,Email,195167
2025-07-08,Partners,313035
2025-07-09,Search,1479123
2025-07-09,Social,1457609
2025-07-09,Email,226840
2025-07-09,Partners,362526
2025-07-10,Search,1407938
2025-07-10,Social,1179448
2025-07-10,Email,129740
2025-07-10,Partners,282638
2025-07-11,Search,1313681
2025-07-11,Social,1083687
2025-07-11,Email,204395
2025-07-11,Partners,421697
2025-07-12,Search,1451588
2025-07-12,Social,1253350
2025-07-12,Email,176549
2025-07-12,Partners,416467
2025-07-13,Search,954205
2025-07-13,Social,1064642
2025-07-13,Email,174549
2025-07-13,Partners,290115
2025-07-14,Search,809032
2025-07-14,Social,1347967
2025-07-14,Email,228307
2025-07-14,Partners,439510
2025-07-15,Search,993177
2025-07-15,Social,1452870
2025-07-15,Email,184841
2025-07-15,Partners,418951
2025-07-16,Search,993053
2025-07-16,Social,990175
2025-07-16,Email,129918
2025-07-16,Partners,303057
2025-07-17,Search,1179966
2025-07-17,Social,1243812
2025-07-17,Email,159136
2025-07-17,Partners,397486
2025-07-18,Search,1078659
2025-07-18,Social,1329406
2025-07-18,Email,127156
2025-07-18,Partners,417155
2025-07-19,Search,1229660
2025-07-19,Social,1391950
2025-07-19,Email,136452
2025-07-19,Partners,339499
2025-07-20,Search,853626
2025-07-20,Social,1526245
2025-07-20,Email,188644
2025-07-20,Partners,347851
2025-07-21,Search,804732
2025-07-21,Social,1155942
2025-07-21,Email,176244
2025-07-21,Partners,463041
2025-07-22,Search,1413797
2025-07-22,Social,1518187
2025-07-22,Email,171178
2025-07-22,Partners,388720
2025-07-23,Search,1062864
2025-07-23,Social,939952
2025-07-23,Email,170361
2025-07-23,Partners,372947
2025-07-24,Search,820966
2025-07-24,Social,1572544
2025-07-24,Email,193018
2025-07-24,Partners,456964
2025-07-25,Search,1380880
2025-07-25,Social,1046947
2025-07-25,Email,154267
2025-07-25,Partners,355427
2025-07-26,Search,1050869
2025-07-26,Social,1440561
2025-07-26,Email,145276
2025-07-26,Partners,416409
2025-07-27,Search,1479381
2025-07-27,Social,1438224
2025-07-27,Email,161124
2025-07-27,Partners,396917
2025-07-28,Search,1457666
2025-07-28,Social,1018143
2025-07-28,Email,201965
2025-07-28,Partners,382949
2025-07-29,Search,1001879
2025-07-29,Social,1306358
2025-07-29,Email,192677
2025-07-29,Partners,379680
2025-07-30,Search,1088064
2025-07-30,Social,1478960
2025-07-30,Email,154604
2025-07-30,Partners,363526
2025-07-31,Search,1058643
2025-07-31,Social,1420982
2025-07-31,Email,215662
2025-07-31,Partners,402513
2025-08-01,Search,827760
2025-08-01,Social,1625499
2025-08-01,Email,205211
2025-08-01,Partners,375386
2025-08-02,Search,1021513
2025-08-02,Social,983318
2025-08-02,Email,131967
2025-08-02,Partners,302982
2025-08-03,Search,1043465
2025-08-03,Social,1473366
2025-08-03,Email,127177
2025-08-03,Partners,420627
2025-08-04,Search,1179813
2025-08-04,Social,1450216
2025-08-04,Email,159451
2025-08-04,Partners,290594
2025-08-05,Search,810542
2025-08-05,Social,1437220
2025-08-05,Email,170066
2025-08-05,Partners,392176
2025-08-06,Search,905402
2025-08-06,Social,1110876
2025-08-06,Email,130479
2025-08-06,Partners,417279
2025-08-07,Search,845895
2025-08-07,Social,1031625
2025-08-07,Email,154703
2025-08-07,Partners,408712
2025-08-08,Search,857639
2025-08-08,Social,1483369
2025-08-08,Email,125961
2025-08-08,Partners,361136
2025-08-09,Search,943711
2025-08-09,Social,1199337
2025-08-09,Email,192909
2025-08-09,Partners,375452
2025-08-10,Search,872255
2025-08-10,Social,908938
2025-08-10,Email,197270
2025-08-10,Partners,284536
2025-08-11,Search,899603
2025-08-11,Social,1064544
2025-08-11,Email,126110
2025-08-11,Partners,347193
2025-08-12,Search,1433062
2025-08-12,Social,1064079
2025-08-12,Email,191004
2025-08-12,Partners,398483
2025-08-13,Search,1004680
2025-08-13,Social,1429859
2025-08-13,Email,173128
2025-08-13,Partners,422992
2025-08-14,Search,1000068
2025-08-14,Social,1687123
2025-08-14,Email,150431
2025-08-14,Partners,305697
2025-08-15,Search,1466786
2025-08-15,Social,1501802
2025-08-15,Email,227276
2025-08-15,Partners,448258
2025-08-16,Search,1178964
2025-08-16,Social,1450199
2025-08-16,Email,150639
2025-08-16,Partners,411568
2025-08-17,Search,1236897
2025-08-17,Social,1604110
2025-08-17,Email,189975
2025-08-17,Partners,341610
2025-08-18,Search,926810
2025-08-18,Social,962000
2025-08-18,Email,149645
2025-08-18,Partners,363392
2025-08-19,Search,1351559
2025-08-19,Social,1011874
2025-08-19,Email,205315
2025-08-19,Partners,381266
2025-08-20,Search,1379927
2025-08-20,Social,1175633
2025-08-20,Email,183218
2025-08-20,Partners,354171
2025-08-21,Search,852530
2025-08-21,Social,1233148
2025-08-21,Email,169197
2025-08-21,Partners,451717
2025-08-22,Search,844049
2025-08-22,Social,1118956
2025-08-22,Email,147420
2025-08-22,Partners,369771
2025-08-23,Search,811631
2025-08-23,Social,936450
2025-08-23,Email,156001
2025-08-23,Partners,294891
2025-08-24,Search,887456
2025-08-24,Social,1189966
2025-08-24,Email,176114
2025-08-24,Partners,348834
2025-08-25,Search,892300
2025-08-25,Social,1122681
2025-08-25,Email,184176
2025-08-25,Partners,286701
2025-08-26,Search,1197810
2025-08-26,Social,1654038
2025-08-26,Email,121586
2025-08-26,Partners,412999
2025-08-27,Search,1119669
2025-08-27,Social,1392619
2025-08-27,Email,196047
2025-08-27,Partners,339273
2025-08-28,Search,1140163
2025-08-28,Social,1210473
2025-08-28,Email,184906
2025-08-28,Partners,468887
2025-08-29,Search,930272
2025-08-29,Social,1311948
2025-08-29,Email,168660
2025-08-29,Partners,403242
2025-08-30,Search,843639
2025-08-30,Social,912773
2025-08-30,Email,221994
2025-08-30,Partners,301567
2025-08-31,Search,1441961
