order_id,date,country,channel,status,gross_cents,discount_cents,cogs_cents,fulfilment_cents
O035034,2025-11-09,UAE,Search,paid,23966,2875,8014,920
O016498,2025-11-29,UK,Search,paid,45269,5432,23105,1906
O029148,2025-07-02,US,Email,paid,31625,3162,15085,476
O022746,2025-10-04,UK,Search,paid,43379,3904,16184,906
O005461,2025-11-08,Germany,Social,paid,52292,3660,15075,1175
O016606,2025-09-27,US,Social,paid,48611,6805,17140,1815
O002315,2025-10-13,UK,Social,paid,20309,2640,8304,1375
O006166,2025-10-19,Germany,Search,paid,90563,11773,34667,1432
O002927,2025-09-25,Germany,Search,paid,88916,7113,25358,2088
O015957,2025-12-05,UK,Social,paid,9027,1354,3989,1948
O047333,2025-08-12,UAE,Search,paid,34449,1722,19308,991
O014819,2025-11-23,UK,Social,paid,15601,312,9020,1828
O045247,2025-10-12,UAE,Social,paid,60283,4822,23848,1365
O042752,2025-07-06,UK,Search,paid,61414,2456,17687,1187
O002605,2025-11-04,UK,Social,paid,77189,9262,20378,1828
O030163,2025-12-18,UAE,Search,paid,12661,1139,5184,504
O003204,2025-11-16,US,Search,paid,79481,0,24639,2078
O027819,2025-08-27,US,Search,paid,59117,3547,20560,1264
O012085,2025-09-13,UAE,Search,paid,74136,8896,28053,1742
O037214,2025-09-29,UAE,Partners,paid,45171,4065,22608,498
O043445,2025-08-16,UAE,Email,cancelled,71436,10715,33396,559
O027709,2025-09-15,UK,Email,paid,36826,736,21293,1638
O046910,2025-12-25,UAE,Search,cancelled,50358,5539,18375,1575
O013073,2025-11-26,UAE,Partners,paid,39157,2349,20244,2009
O010302,2025-12-02,UAE,Search,paid,92195,9219,34020,611
O012958,2025-10-29,UAE,Email,paid,43797,875,17168,955
O048612,2025-07-13,UK,Social,paid,65272,3263,35345,1052
O016819,2025-11-07,UAE,Social,paid,51758,3623,18291,1672
O031127,2025-07-01,UAE,Social,paid,36035,720,11300,833
O002960,2025-07-07,US,Search,cancelled,63063,6306,32919,1123
O034750,2025-10-15,US,Social,paid,38996,1169,21183,718
O043582,2025-12-24,UAE,Email,paid,67130,6041,35431,1338
O042042,2025-09-23,US,Social,paid,61434,3686,21366,1492
O027196,2025-07-30,UAE,Social,paid,27796,1389,14787,987
O037190,2025-09-20,Germany,Social,paid,33432,1337,13158,1046
O017808,2025-12-07,UAE,Social,paid,90739,10888,29544,1081
O041123,2025-12-22,US,Search,paid,93447,11213,41117,944
O020429,2025-09-27,UAE,Search,paid,57351,573,24982,1318
O042297,2025-10-13,UAE,Partners,paid,47140,942,18017,1834
O033615,2025-08-13,Germany,Social,paid,62536,5002,27040,2029
O022909,2025-07-12,UK,Social,paid,3197,159,1610,957
O007783,2025-10-25,UK,Social,paid,21930,2850,8204,1898
O027554,2025-07-02,Germany,Social,paid,3375,303,1044,1204
O003866,2025-07-22,UAE,Social,paid,22776,455,10267,1900
O016101,2025-10-22,UK,Search,paid,59088,2954,27505,1220
O009189,2025-10-29,UK,Social,paid,87372,4368,30711,1561
O006513,2025-08-29,US,Social,paid,63699,2547,35468,1545
O034938,2025-11-24,US,Email,paid,66937,2677,20563,1029
O006725,2025-12-13,UAE,Partners,paid,73852,5169,23352,1982
O023308,2025-10-04,UAE,Search,pending,40843,408,12534,1529
O005252,2025-09-22,UAE,Email,paid,45855,5044,17548,727
O012175,2025-11-09,US,Email,paid,22977,1148,6330,1225
O036351,2025-07-20,Germany,Partners,paid,81460,10589,26930,856
O001488,2025-11-19,US,Search,pending,92759,12058,24210,1017
O025755,2025-09-22,UK,Social,paid,87668,7890,36697,1427
O035590,2025-07-20,Germany,Partners,paid,22106,3094,6654,1562
O003523,2025-11-04,US,Email,paid,45243,2714,15735,1469
O044584,2025-08-02,Germany,Search,paid,41922,3772,22508,982
O001338,2025-07-14,Germany,Email,paid,37275,4473,9512,490
O044064,2025-08-06,Germany,Social,paid,47687,3814,20620,418
O015159,2025-12-07,Germany,Search,paid,59190,4143,26973,836
O013332,2025-12-13,UK,Social,paid,38974,1558,16088,488
O024435,2025-07-30,UAE,Social,paid,14187,851,3867,1107
O047263,2025-11-14,Germany,Search,paid,74363,10410,37732,1883
O008012,2025-11-22,US,Search,paid,52338,5757,27482,565
O021656,2025-07-27,US,Search,paid,64927,7141,29470,850
O002408,2025-09-15,Germany,Search,paid,14577,1020,4609,1492
O049302,2025-11-22,Germany,Search,paid,37307,1119,12665,1172
O049853,2025-08-23,US,Email,paid,18514,1666,8592,593
O036275,2025-09-03,Germany,Partners,paid,69118,691,33529,1552
O008014,2025-10-21,UK,Search,paid,12261,1716,5377,749
O048474,2025-12-05,UK,Social,paid,52057,7808,14159,1757
O048325,2025-11-16,UK,Partners,paid,53720,6446,17491,854
O045842,2025-09-06,Germany,Social,paid,15299,1376,4873,733
O046580,2025-07-04,Germany,Social,paid,81247,11374,22359,2003
O024747,2025-09-27,UK,Partners,paid,90481,11762,31487,512
O010228,2025-09-30,UK,Search,pending,93949,9394,30439,1118
O005982,2025-10-02,Germany,Partners,paid,89742,11666,39818,1628
O008315,2025-12-19,UK,Social,paid,44514,890,17885,947
O019907,2025-10-26,UAE,Email,paid,79959,6396,31632,1508
O002908,2025-07-06,UAE,Email,paid,4877,682,1552,938
O008195,2025-10-15,US,Partners,paid,6531,130,2752,1171
O019388,2025-10-28,Germany,Social,paid,46480,5112,11583,1323
O013493,2025-09-17,Germany,Search,paid,72208,5054,24846,358
O020991,2025-10-18,Germany,Social,pending,92939,5576,44555,1315
O034495,2025-07-06,Germany,Social,paid,76497,1529,22490,1340
O037727,2025-08-01,UAE,Social,paid,52380,2619,21397,1111
O032669,2025-11-17,US,Social,paid,64359,3861,36298,1720
O025837,2025-11-13,Germany,Search,paid,75806,8338,26312,1648
O002967,2025-08-13,Germany,Social,cancelled,3531,0,1553,1238
O028511,2025-12-12,UAE,Social,paid,66124,5951,25874,1730
O045240,2025-12-24,UAE,Social,paid,75911,8350,20268,2045
O045641,2025-09-03,UAE,Social,paid,7900,790,3839,405
O021349,2025-12-27,Germany,Partners,paid,79857,5589,40104,1923
O048100,2025-09-09,US,Email,paid,57077,5707,26712,1200
O049844,2025-09-12,Germany,Email,cancelled,51451,1543,13974,1173
O028111,2025-11-16,US,Partners,paid,13787,0,4687,571
O019533,2025-08-05,UAE,Social,paid,90514,13577,36929,1540
O028624,2025-11-16,Germany,Email,pending,84496,10984,23523,924
O036926,2025-11-10,UAE,Search,cancelled,77475,6198,31361,890
O045293,2025-10-18,Germany,Partners,paid,16653,2331,4010,1080
O019929,2025-07-22,UK,Social,paid,6103,732,2470,1337
O010159,2025-11-14,US,Email,paid,86774,11280,33972,1981
O003430,2025-09-17,UAE,Search,paid,38226,3440,19828,1586
O043440,2025-11-01,UK,Search,paid,51780,1553,22602,838
O027523,2025-10-26,UAE,Social,paid,53816,6996,27623,1261
O034639,2025-07-16,UK,Partners,paid,63104,4417,20540,932
O029726,2025-09-29,Germany,Search,paid,84801,11872,37193,368
O013682,2025-11-26,UK,Search,paid,39902,4788,11587,1585
O021254,2025-10-02,Germany,Social,paid,33850,5077,16400,1733
O019470,2025-12-12,UAE,Search,paid,3585,430,1198,844
O033026,2025-10-20,UAE,Search,paid,45255,5430,21107,1337
O001324,2025-10-14,UK,Email,paid,77529,2325,44370,849
O013182,2025-08-10,UK,Search,paid,87500,5250,28787,1944
O014185,2025-09-25,Germany,Email,paid,15058,451,7887,1086
O005053,2025-10-29,UAE,Email,paid,94371,11324,32388,1219
O002995,2025-12-13,Germany,Email,paid,15894,2225,7244,1701
O013043,2025-07-29,UK,Partners,paid,20197,1817,10476,1077
O041853,2025-07-30,UK,Social,paid,17097,2393,4117,1425
O031720,2025-09-05,UAE,Email,paid,27696,2492,12602,1198
O045934,2025-11-14,UK,Email,cancelled,14462,1735,7127,1014
O022988,2025-11-25,Germany,Social,paid,19982,399,6266,1195
O034396,2025-07-27,UAE,Social,paid,80378,11252,39401,947
O007886,2025-12-10,Germany,Social,paid,28081,1404,14138,1388
O043080,2025-07-07,UAE,Search,paid,93186,3727,48307,1309
O040878,2025-08-23,UAE,Social,paid,28722,287,11089,933
O035797,2025-11-13,UK,Social,paid,17384,173,7056,1736
O046868,2025-07-28,US,Social,paid,22864,3429,6219,1052
O033189,2025-10-17,US,Social,paid,39248,4709,11052,1600
O019577,2025-09-27,US,Social,paid,85501,5985,46119,1560
O049856,2025-12-21,Germany,Search,paid,53794,7531,13416,1506
O021089,2025-12-11,Germany,Partners,paid,48464,6784,17088,953
O041179,2025-08-16,US,Social,paid,8298,331,4620,1427
O006641,2025-08-15,Germany,Social,paid,80565,4028,32145,1070
O026262,2025-08-07,UK,Email,paid,18933,378,9834,546
O044157,2025-08-23,Germany,Search,paid,88612,0,41647,1874
