refund_id,order_id,amount_cents
R000001,O000002,9371
R000002,O000005,4125
R000003,O000021,26118
R000004,O000041,78394
R000005,O000078,22522
R000006,O000105,13236
R000007,O000116,2964
R000008,O000142,18082
R000009,O000181,40110
R000010,O000185,33673
R000011,O000186,9437
R000012,O000197,32383
R000013,O000203,18849
R000014,O000204,33502
R000015,O000233,17061
R000016,O000240,10673
R000017,O000248,40741
R000018,O000280,18058
R000019,O000288,3330
R000020,O000294,18531
R000021,O000301,39850
R000022,O000311,14652
R000023,O000332,30026
R000024,O000344,40751
R000025,O000377,23301
R000026,O000390,4003
R000027,O000421,17628
R000028,O000431,786
R000029,O000450,71834
R000030,O000459,8522
R000031,O000462,51603
R000032,O000471,28057
R000033,O000482,2576
R000034,O000491,12741
R000035,O000497,85939
R000036,O000536,20769
R000037,O000543,16734
R000038,O000548,28320
R000039,O000558,14492
R000040,O000560,34964
R000041,O000564,25982
R000042,O000574,3706
R000043,O000586,23341
R000044,O000592,11914
R000045,O000610,14417
R000046,O000620,38525
R000047,O000633,38646
R000048,O000653,18264
R000049,O000658,16999
R000050,O000668,13964
R000051,O000673,6161
R000052,O000675,45180
R000053,O000682,21927
R000054,O000689,75230
R000055,O000692,4051
R000056,O000701,14600
R000057,O000716,68550
R000058,O000724,15496
R000059,O000729,9226
R000060,O000754,5618
R000061,O000767,14027
R000062,O000768,68301
R000063,O000777,15028
R000064,O000784,22462
R000065,O000789,3367
R000066,O000798,24474
R000067,O000817,52478
R000068,O000820,37964
R000069,O000854,15770
R000070,O000866,27030
R000071,O000869,38170
R000072,O000873,41302
R000073,O000874,3126
R000074,O000879,4114
R000075,O000920,73782
R000076,O000921,21028
R000077,O000926,3159
R000078,O000959,19834
R000079,O000965,9209
R000080,O000997,4067
R000081,O000999,25546
R000082,O001010,63792
R000083,O001015,6784
R000084,O001031,5332
R000085,O001034,20630
R000086,O001073,69358
R000087,O001075,35141
R000088,O001077,12274
R000089,O001114,7052
R000090,O001128,7368
R000091,O001164,36126
R000092,O001181,10368
R000093,O001207,1385
R000094,O001211,3659
R000095,O001215,17519
R000096,O001225,67887
R000097,O001226,5456
R000098,O001227,30029
R000099,O001234,68279
R000100,O001254,16695
R000101,O001260,14828
R000102,O001266,4450
R000103,O001271,11989
R000104,O001286,24440
R000105,O001293,71224
R000106,O001304,10789
R000107,O001309,20059
R000108,O001328,18431
R000109,O001339,3931
R000110,O001344,17924
R000111,O001350,14208
R000112,O001366,17770
R000113,O001382,70324
R000114,O001383,78134
R000115,O001384,21724
R000116,O001441,16657
R000117,O001444,41564
R000118,O001464,6964
R000119,O001485,4009
R000120,O001489,28938
R000121,O001492,13486
R000122,O001523,21098
R000123,O001542,11460
R000124,O001567,18069
R000125,O001586,20604
R000126,O001590,23890
R000127,O001594,64504
R000128,O001598,4875
R000129,O001613,5361
R000130,O001637,23211
R000131,O001644,13617
R000132,O001653,32572
R000133,O001682,11232
R000134,O001712,39830
R000135,O001717,58759
R000136,O001724,1327
R000137,O001750,12409
R000138,O001751,32527
R000139,O001753,72794
R000140,O001782,14045
R000141,O001806,5871
R000142,O001826,38715
R000143,O001832,13923
R000144,O001833,3771
R000145,O001839,13189
R000146,O001862,34693
R000147,O001869,16323
R000148,O001871,5586
R000149,O001872,51887
R000150,O001890,3576
R000151,O001905,26723
R000152,O001907,5342
R000153,O001910,9261
R000154,O001938,63784
R000155,O001958,31829
R000156,O001960,11668
R000157,O001963,13870
R000158,O001970,85672
R000159,O001982,42719
R000160,O001983,4680
R000161,O001999,8283
R000162,O002005,19037
R000163,O002047,4322
R000164,O002056,34149
R000165,O002057,25905
R000166,O002060,35211
R000167,O002063,21318
R000168,O002072,14079
R000169,O002074,3244
R000170,O002082,13088
R000171,O002115,27019
R000172,O002187,32309
R000173,O002209,13832
R000174,O002215,16919
R000175,O002216,74774
R000176,O002233,7175
R000177,O002238,21706
R000178,O002246,3620
R000179,O002255,71749
R000180,O002276,19920
R000181,O002284,26788
R000182,O002296,36027
R000183,O002297,29726
R000184,O002304,42291
R000185,O002318,28167
R000186,O002321,3839
R000187,O002354,25155
R000188,O002402,3763
R000189,O002409,3455
R000190,O002413,19759
R000191,O002417,41553
R000192,O002421,18503
R000193,O002434,82605
R000194,O002442,9678
R000195,O002447,12145
R000196,O002450,22460
R000197,O002455,33395
R000198,O002460,18892
R000199,O002472,72767
R000200,O002475,39557
R000201,O002484,40204
R000202,O002491,11134
R000203,O002508,38419
R000204,O002510,21289
R000205,O002519,14845
R000206,O002531,24137
R000207,O002545,16395
R000208,O002548,7798
R000209,O002563,22342
R000210,O002569,18391
R000211,O002577,53568
R000212,O002591,5715
R000213,O002595,73177
R000214,O002612,29082
R000215,O002620,6910
R000216,O002640,14928
R000217,O002646,34280
R000218,O002654,16474
R000219,O002664,38628
R000220,O002673,52595
R000221,O002688,25666
R000222,O002699,19997
R000223,O002718,18036
R000224,O002752,5610
R000225,O002758,4716
R000226,O002763,12997
R000227,O002815,41446
R000228,O002817,34311
R000229,O002825,37976
R000230,O002838,5590
R000231,O002844,39848
R000232,O002854,15019
R000233,O002860,6901
R000234,O002875,32702
R000235,O002880,26400
R000236,O002905,4455
R000237,O002915,18352
R000238,O002932,18659
R000239,O002942,2414
R000240,O002964,17833
R000241,O002969,16091
R000242,O002971,54611
R000243,O002973,19594
R000244,O002989,35690
R000245,O003035,11063
R000246,O003038,32544
R000247,O003046,19770
R000248,O003066,5460
R000249,O003069,6795
R000250,O003070,10333
R000251,O003079,36786
R000252,O003084,10803
R000253,O003104,62950
R000254,O003109,18238
R000255,O003118,79080
R000256,O003146,32058
R000257,O003178,23239
R000258,O003185,1958
R000259,O003191,33590
R000260,O003195,32113
R000261,O003199,10895
R000262,O003211,45307
R000263,O003225,22818
R000264,O003230,8962
R000265,O003235,33724
R000266,O003249,14811
R000267,O003253,16857
R000268,O003254,9850
R000269,O003284,21592
R000270,O003314,10502
R000271,O003324,43322
R000272,O003333,23343
R000273,O003336,75505
R000274,O003350,10080
R000275,O003365,19931
R000276,O003370,16284
R000277,O003372,19794
R000278,O003389,50384
R000279,O003391,8732
R000280,O003393,21396
R000281,O003398,8352
R000282,O003410,50349
R000283,O003433,33020
R000284,O003450,1291
R000285,O003451,10213
R000286,O003453,14886
R000287,O003458,3602
R000288,O003460,7556
R000289,O003468,35486
R000290,O003472,61006
R000291,O003474,17431
R000292,O003476,19638
R000293,O003481,13319
R000294,O003514,14076
R000295,O003528,39219
R000296,O003536,47349
R000297,O003540,8656
R000298,O003543,17684
R000299,O003558,22305
R000300,O003567,12140
R000301,O003569,20785
R000302,O003593,20393
R000303,O003595,65761
R000304,O003602,69283
R000305,O003613,8344
R000306,O003619,54214
R000307,O003620,15662
R000308,O003634,68417
R000309,O003637,56483
R000310,O003653,18014
R000311,O003660,79149
R000312,O003665,16714
R000313,O003673,24817
R000314,O003679,23165
R000315,O003689,10910
R000316,O003711,13638
R000317,O003749,37763
R000318,O003750,15618
R000319,O003754,15377
R000320,O003789,6398
R000321,O003795,56164
R000322,O003803,36988
R000323,O003825,38439
R000324,O003827,2676
R000325,O003828,54488
R000326,O003834,20920
R000327,O003839,23347
R000328,O003848,17968
R000329,O003851,43897
R000330,O003875,4199
R000331,O003892,68306
R000332,O003913,4977
R000333,O003962,16331
R000334,O003982,7141
R000335,O003998,16321
R000336,O004000,9037
R000337,O004013,21470
R000338,O004021,30000
R000339,O004024,18528
R000340,O004026,50928
R000341,O004054,28698
R000342,O004062,15968
R000343,O004068,6935
R000344,O004072,35505
R000345,O004073,3967
R000346,O004075,18392
R000347,O004088,72211
R000348,O004110,29404
R000349,O004116,17194
R000350,O004129,16583
R000351,O004133,44304
R000352,O004161,14692
R000353,O004209,14922
R000354,O004234,72270
R000355,O004271,5029
